Equity NF Daily Strategy 1,Equity NB Daily Strategy 1
1648231.767285678,1648231.767285678
1810499.3837931263,1810499.3837931266
1790444.4286874332,1790444.4286874332
1767356.6351902578,1767356.6351902578
1744727.697331471,1744727.6973314707
1722562.2168926983,1722562.2168926983
1700265.7169242508,1700265.7169242508
1677587.9175965255,1677587.9175965257
1650825.0028388696,1650825.0028388696
1624081.986017498,1624081.986017498
1597859.51826082,1597859.51826082
1571700.9796796057,1571700.9796796057
1738333.8195064976,1738333.8195064976
1713217.5763737855,1713217.5763737857
1688238.5887772494,1688238.5887772494
1850688.205507577,1850688.205507577
2008107.382293506,2008107.382293506
1989726.9546178249,1989726.9546178249
1970962.689813024,1970962.6898130241
2130089.28623331,2130089.28623331
2106090.862326716,2106090.862326716
2259498.083775406,2259498.083775406
2236092.727128953,2236092.727128953
2212674.631801172,2212674.631801172
2361065.4120626184,2361065.4120626184
2503554.3317484427,2503554.3317484427
2641209.4775733086,2641209.4775733086
2620933.828367549,2620933.828367549
2601302.101603052,2601302.1016030516
2583048.4908974487,2583048.4908974487
2564886.061625438,2564886.061625438
2546856.6065902305,2546856.6065902305
2533525.389860869,2533525.389860869
2640971.048904011,2640971.048904011
2745433.7705436507,2745433.7705436507
2729261.717910371,2729261.717910371
2713511.7576182373,2713511.7576182373
2701528.31778821,2701528.31778821
2689482.034651521,2689482.034651521
2677130.634487873,2677130.634487873
2664091.2727351794,2664091.2727351794
2651005.571722349,2651005.571722349
2634127.1289016195,2634127.1289016195
2617466.0475875437,2617466.0475875433
2600936.2648660345,2600936.2648660345
2584475.2513728435,2584475.2513728435
2568096.972807351,2568096.972807351
2551819.898907194,2551819.898907194
2535517.0824201545,2535517.0824201545
2519245.793681649,2519245.7936816495
2621501.555602623,2621501.555602623
2605550.948233817,2605550.948233817
2589658.581210423,2589658.581210423
2690377.60734575,2690377.60734575
2674871.718273225,2674871.718273225
2659304.1098196,2659304.1098196
2755345.6688108174,2755345.6688108174
2740463.28759371,2740463.28759371
2725657.5178583013,2725657.5178583013
2818171.401098228,2818171.4010982276
2803976.675084857,2803976.675084857
2901979.4810785456,2901979.4810785456
2890997.0185354888,2890997.0185354888
2879800.4398021204,2879800.4398021204
2868492.7830909537,2868492.7830909537
2856717.148251601,2856717.1482516015
2841113.691755213,2841113.691755213
2825616.3540510163,2825616.3540510163
2810341.7331549106,2810341.7331549106
2795313.0822622497,2795313.0822622497
2780215.4372455417,2780215.4372455417
